2025-03-24 21:03:05,687 INFO    MainThread:3915908 [wandb_setup.py:_flush():67] Current SDK version is 0.19.7
2025-03-24 21:03:05,688 INFO    MainThread:3915908 [wandb_setup.py:_flush():67] Configure stats pid to 3915908
2025-03-24 21:03:05,688 INFO    MainThread:3915908 [wandb_setup.py:_flush():67] Loading settings from /home/edramos/.config/wandb/settings
2025-03-24 21:03:05,688 INFO    MainThread:3915908 [wandb_setup.py:_flush():67] Loading settings from /home/edramos/Documents/MLOPS/WBC-Cancer/wandb/settings
2025-03-24 21:03:05,688 INFO    MainThread:3915908 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-03-24 21:03:05,688 INFO    MainThread:3915908 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /home/edramos/Documents/MLOPS/WBC-Cancer/wandb/run-20250324_210305-23mnu3k4/logs/debug.log
2025-03-24 21:03:05,688 INFO    MainThread:3915908 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /home/edramos/Documents/MLOPS/WBC-Cancer/wandb/run-20250324_210305-23mnu3k4/logs/debug-internal.log
2025-03-24 21:03:05,688 INFO    MainThread:3915908 [wandb_init.py:init():761] calling init triggers
2025-03-24 21:03:05,688 INFO    MainThread:3915908 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-03-24 21:03:05,688 INFO    MainThread:3915908 [wandb_init.py:init():784] starting backend
2025-03-24 21:03:05,688 INFO    MainThread:3915908 [wandb_init.py:init():788] sending inform_init request
2025-03-24 21:03:05,694 INFO    MainThread:3915908 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-03-24 21:03:05,695 INFO    MainThread:3915908 [wandb_init.py:init():803] backend started and connected
2025-03-24 21:03:05,697 INFO    MainThread:3915908 [wandb_init.py:init():896] updated telemetry
2025-03-24 21:03:05,704 INFO    MainThread:3915908 [wandb_init.py:init():920] communicating run to backend with 90.0 second timeout
2025-03-24 21:03:06,313 INFO    MainThread:3915908 [wandb_init.py:init():995] starting run threads in backend
2025-03-24 21:03:06,392 INFO    MainThread:3915908 [wandb_run.py:_console_start():2377] atexit reg
2025-03-24 21:03:06,392 INFO    MainThread:3915908 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-24 21:03:06,392 INFO    MainThread:3915908 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-24 21:03:06,392 INFO    MainThread:3915908 [wandb_run.py:_redirect():2317] Redirects installed.
2025-03-24 21:03:06,394 INFO    MainThread:3915908 [wandb_init.py:init():1037] run started, returning control to user process
